comdiv 256-buckets:
128 19.84
128 23.44
128 22.01
128 23.75
128 23.10
256 30.20
256 29.53
256 27.84
256 30.37
256 29.14
512 35.86
512 37.96
512 39.10
512 37.45
512 34.47
1024 67.88
1024 63.12
1024 66.47
1024 59.99
1024 65.32
2048 113.21
2048 109.55
2048 115.09
2048 125.57
2048 124.74
4096 226.15
4096 241.22
4096 248.77
4096 246.54
4096 232.87
4541 262.06
4541 240.44
4541 279.21
4541 269.03
4541 242.74
comdiv hardcore:
128 31.87
128 36.77
128 34.73
128 34.87
128 37.87
256 64.53
256 71.97
256 47.06
256 63.13
256 56.05
512 127.78
512 134.95
512 134.68
512 143.75
512 140.52
1024 247.46
1024 253.81
1024 200.04
1024 172.98
1024 241.55
2048 464.83
2048 463.60
2048 500.31
2048 521.58
2048 595.95
4096 1229.72
4096 1055.91
4096 913.41
4096 842.44
4096 760.11
4541 1103.98
4541 1080.70
4541 1113.22
4541 1049.43
4541 1008.51
comdiv hardcore-single-temp:
128 18.24
128 15.03
128 16.02
128 17.17
128 13.78
256 19.03
256 18.82
256 17.08
256 19.31
256 19.19
512 39.41
512 37.16
512 41.32
512 40.03
512 41.08
1024 82.44
1024 71.42
1024 78.34
1024 72.68
1024 59.37
2048 126.53
2048 159.09
2048 154.71
2048 158.74
2048 149.76
4096 327.00
4096 325.72
4096 315.54
4096 305.50
4096 308.39
4541 373.37
4541 356.60
4541 375.85
4541 351.50
4541 356.58
elektrybalt merge_qs:
128 9.73
128 8.13
128 8.96
128 7.84
128 8.58
256 16.43
256 15.46
256 15.09
256 15.26
256 16.60
512 33.90
512 31.32
512 32.31
512 32.86
512 33.97
1024 73.28
1024 69.19
1024 75.54
1024 74.38
1024 76.92
2048 174.76
2048 184.71
2048 180.21
2048 174.51
2048 170.55
4096 397.91
4096 417.65
4096 402.57
4096 417.38
4096 404.55
4541 472.51
4541 472.46
4541 483.72
4541 485.16
4541 471.42
elektrybalt merge_rs:
128 7.11
128 7.23
128 7.99
128 7.31
128 7.60
256 16.68
256 15.12
256 14.43
256 14.77
256 16.90
512 34.95
512 34.37
512 29.04
512 32.95
512 33.19
1024 62.68
1024 66.94
1024 68.93
1024 70.12
1024 70.28
2048 166.93
2048 170.45
2048 174.07
2048 174.49
2048 153.69
4096 367.29
4096 367.98
4096 352.59
4096 355.67
4096 354.38
4541 462.97
4541 479.70
4541 476.77
4541 482.56
4541 493.54
elena files_merge:
128 15.59
128 16.24
128 14.07
128 17.58
128 16.49
256 47.03
256 46.61
256 42.01
256 48.00
256 41.18
512 104.70
512 112.30
512 114.12
512 110.85
512 117.86
1024 289.31
1024 296.57
1024 273.63
1024 306.26
1024 289.13
2048 730.43
2048 855.96
2048 985.67
2048 902.28
2048 920.53
4096 1976.46
4096 1710.26
4096 2061.56
4096 1844.36
4096 1805.94
4541 1937.01
4541 1599.05
4541 1613.39
4541 1778.51
4541 2040.73
elena linux_mmap:
128 8.31
128 8.00
128 8.79
128 9.78
128 8.74
256 18.75
256 19.79
256 23.73
256 19.83
256 19.10
512 49.18
512 52.42
512 51.05
512 49.91
512 53.49
1024 112.43
1024 123.09
1024 128.90
1024 117.27
1024 108.11
2048 260.54
2048 275.06
2048 288.01
2048 256.47
2048 267.74
4096 594.94
4096 579.23
4096 480.99
4096 441.47
4096 470.81
4541 529.95
4541 524.25
4541 507.69
4541 534.27
4541 511.47
valexey sortix:
128 20.03
128 19.36
128 18.79
128 18.46
128 18.91
256 36.59
256 37.42
256 39.14
256 36.09
256 35.05
512 64.65
512 76.10
512 63.54
512 61.81
512 61.22
1024 142.28
1024 144.90
1024 142.75
1024 144.36
1024 95.55
2048 273.52
2048 287.15
2048 218.13
2048 218.77
2048 270.44
4096 524.51
4096 498.45
4096 543.96
4096 453.18
4096 542.28
4541 318.47
4541 379.53
4541 378.41
4541 354.63
4541 356.83
vlad fast:
128 5.46
128 5.13
128 5.40
128 5.57
128 5.19
256 11.37
256 10.89
256 11.44
256 11.44
256 11.10
512 25.34
512 26.31
512 23.03
512 23.58
512 23.42
1024 51.92
1024 57.66
1024 52.74
1024 55.08
1024 57.22
2048 138.13
2048 136.14
2048 133.15
2048 131.21
2048 135.64
4096 348.01
4096 349.17
4096 350.58
4096 349.45
4096 344.49
4541 415.47
4541 412.94
4541 407.08
4541 413.43
4541 434.90
vlad simple:
128 10.49
128 12.19
128 11.14
128 10.81
128 12.21
256 23.07
256 24.72
256 22.23
256 21.48
256 23.37
512 76.94
512 78.56
512 71.21
512 72.03
512 75.98
1024 228.50
1024 233.21
1024 233.91
1024 240.77
1024 235.45
2048 718.84
2048 753.11
2048 753.70
2048 781.91
2048 790.05
4096 2743.27
4096 2763.24
4096 2487.22
4096 2073.69
4096 1984.94
4541 2644.95
4541 3263.27
4541 3158.76
4541 3047.70
4541 3010.46
vlad multi-threaded:
128 4.75
128 4.61
128 3.54
128 3.83
128 3.95
256 11.23
256 11.59
256 13.19
256 13.69
256 11.40
512 29.33
512 33.67
512 29.84
512 27.81
512 27.86
1024 84.34
1024 87.65
1024 88.09
1024 86.04
1024 89.39
2048 320.13
2048 309.63
2048 297.82
2048 297.18
2048 302.08
4096 1108.15
4096 1100.29
4096 1102.72
4096 1065.00
4096 1059.18
4541 1550.09
4541 1548.03
4541 1603.96
4541 1574.39
4541 1473.78
